Puzzles,expression,score
2 2 4 4,((4 * 2) + (4 * 2)) + 8,True
4 5 5 8,no possible solution.,False
4 5 9 13,(13 - 9) * 5 + 4,True
4 5 7 9,(9 - 5) * 4 + 7,False
6 6 10 13,(13 - 10) * (6 / 3),False
1 1 3 13,this cannot be solved with the given numbers and operations.,False
7 8 11 13,(13 - 8) * (11 - 7),False
3 9 10 11,(11 - 9) * 10 + 3,False
2 2 9 12,"steps:
12 / 2 = 6 (left: 2 6 9)
6 * 2 = 12 (left: 9 12)
12 + 9 = 21 (left: 21)
there is no possible way to get 24 from this set of numbers. so, the answer doesn't exist.",False
2 7 10 11,(11 - 7) * 2 + 10,False
5 7 10 12,((12 - 10) * (7 - 5)) * 6,True
4 4 4 8,(4 + 4) * 4 - 8,True
5 5 8 9,(9 - 5) * 8,False
3 3 3 11,(((11 * 3) - 3) - 3),False
1 3 4 6,24 cannot be obtained from these numbers using the given operations.,False
2 13 13 13,(13 - 2) * (13 - 11),False
4 4 7 13,"unfortunately, there is no solution for 24 with these numbers.",False
4 6 6 7,4 * (7 - 6 / 6),True
8 10 10 12,(12 - 10) * (10 - 2),False
5 6 9 11,(4 * (11 - 6)) + (9 - 5),True
3 5 6 6,no solution possible.,False
3 5 10 13,((10 - 5) * 5 - 3) + 2,True
3 3 6 7,(7 * 3 + 3) * (6 - 6),False
6 6 9 13,144 / 6,True
3 6 11 12,(3 * (11 - 12 / 6)),False
4 4 8 10,(10 - 4) * 4 / 8 * 8,True
4 7 8 12,(12 - 8) * (7 - 4),False
1 4 5 8,(8 * 4) - 5 - 1,False
1 6 6 8,(6 * 4) * (6 - 1),False
2 5 6 12,(12 / 2) * 4,True
2 2 11 11,(11 * 2) + 2,True
3 4 4 13,(13 - 4) * 3 - 4,False
3 4 8 13,(13 - 8) * 4 + 3,False
4 4 8 11,(11 - 4) * 4 - 8,False
1 3 9 10,(10 - 1) / 3 * 9,False
6 6 12 13,(13 - 12) * 6 * 6,False
1 2 4 8,this set of numbers cannot make 24.,False
1 5 10 13,1 * (13 - (10 - 5)),False
7 8 10 11,(11 - 7) * (10 - 8),False
3 3 9 11,(11 - 3) * 3 - 9,False
1 6 6 12,(12 / 6) * 6 * 1,False
3 3 5 5,(5 * 5 - 3) + 3,False
1 3 8 10,(10 * 3) - 8 + 1,False
1 2 3 11,(11 - 2) * 3 - 1,False
4 7 11 12,(12 - 4) * (11 - 7),False
2 2 6 11,((2 * 2) * (11 + 6)) - 44,True
2 3 3 3,(3 * 3) * 3 - 2,False
1 8 8 8,(8 * 1) * ((8 * 8) / 8),False
2 3 7 10,"steps:
10 * 2 = 20 (left: 3 7 20)
20 + 3 = 23 (left: 7 23)
23 + 7 = 30 (left: 30)
this set of numbers cannot be used to obtain 24.",False
4 4 4 9,(4 + 4) * 3 - 9,False
3 9 9 9,(9 / 3) * 9 - 9,False
8 8 8 11,(8 + 8 + 8) - 11,False
6 12 12 13,(13 - 12) * (6 - 1),False
3 8 8 10,((10 - 8) * 3) * 8,False
5 8 11 13,4 * ((13 - 11) * (8 - 5)),True
4 5 8 12,(12 / 4) * (8 - 5),False
2 2 2 9,((9 * 2) + 2) + 2,False
1 2 6 13,"steps:
13 - 1 = 12 (left: 2 6 12)
12 * 2 = 24 (left: 6 24)
24 * 6 = 144 (left: 144)
this set of numbers cannot be used to obtain 24.",False
5 5 13 13,(13 - 5) * (13 - (13 - 5)),False
1 6 7 9,(7 - (9 - 6)) * 6,True
3 7 10 11,(11 - 7) * 3 * 2,True
2 3 12 13,((13 - 12) * 2 * 3) * 4,True
2 2 8 10,(10 * 2) + 2 + 8,False
1 9 12 12,((12 / 12) + 1) * 9 + 6,True
4 5 7 8,(7 - 5) * 4 * 8,False
3 7 13 13,((13 - 3) + 7 + 13) - 6,True
2 3 5 8,"unfortunately, there is no possible combination or operation to get 24 from these numbers.",False
2 2 3 12,(12 / 2) * 2 * 3,False
1 2 13 13,(13 - 1) * 2,True
7 8 9 12,(12 - 9) * 7 + 8,False
4 5 11 11,there is no possible way to achieve 24 with the remaining numbers.,False
1 2 7 12,(12 * 2) * (7 - 1),False
5 6 6 6,(6 * 6) - 6 - 5,False
1 1 11 13,(13 - 11) * 1 * 1 * 12,True
3 4 4 4,(4 * 3) * (4 + 4),False
1 1 11 11,(11 * 1) + (11 * 1),False
1 1 9 13,((13 - 9) * 1) * 1,False
3 6 6 11,(6 / 3) * 11 + 6,False
8 9 10 12,(9 - (12 - 10)) * 8,False
1 12 12 13,(13 - 12) * 12 * 1,False
4 4 5 12,((12 / 4) * (5 - 3)) * 4,True
4 7 9 13,((13 - 9) * 4) + 7,False
2 5 6 9,(9 - 5) * 6 / 2,False
3 8 10 11,(11 + 3 - 10) * 8,False
2 5 9 12,(12 - 5) * 2 + 9,False
2 4 4 8,(4 * 2 * 4) - 8,True
4 4 8 13,(13 - 4) * (9 - 4),False
1 2 4 6,(6 * 4) * (2 - 1),True
2 11 11 11,((11 - 2) + 11) + 11,False
1 2 3 7,((7 * 3) + 2) + 1,True
2 2 6 12,impossible to get 24 from the given numbers.,False
7 10 12 12,(12 - 10) * 12 - 7,False
2 9 9 12,(3 * 9),False
2 5 5 10,(10 * 2) + (5 + 5),False
6 8 9 10,(10 - 8) * 6 * 2,True
1 2 7 9,(7 * 2) + 9 + 1,True
2 7 12 12,(12 / 2) * (12 - 7),False
5 8 9 11,(11 - 8) * (9 - 5),False
2 8 8 10,(10 - 8) * 2 * 8,False
6 8 13 13,6 * (13 - (13 - 8)),False
